         10814361 function calls (10697337 primitive calls) in 46.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17014    0.087    0.000    0.397    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/sorting.py:152(maybe_lift)
        8    0.027    0.003    0.396    0.049 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:845(_get_strcols_without_index)
        1    0.000    0.000    0.394    0.394 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/concurrent/futures/_base.py:635(__exit__)
        1    0.000    0.000    0.394    0.394 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/concurrent/futures/process.py:679(shutdown)
        2    0.000    0.000    0.393    0.197 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:979(join)
        2    0.000    0.000    0.393    0.197 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:1017(_wait_for_tstate_lock)
    28205    0.145    0.000    0.391    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/core/_dtype.py:344(_name_get)
    41048    0.102    0.000    0.370    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1209(is_float_dtype)
    17434    0.200    0.000    0.367    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1084(iget)
      256    0.007    0.000    0.364    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:2262(_consolidate)
    17014    0.016    0.000    0.354    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/series.py:676(values)
    28134    0.034    0.000    0.352    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/construction.py:396(extract_array)
    14553    0.173    0.000    0.348    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:741(_combine_concat_plans)
    19002    0.028    0.000    0.345    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:7072(ensure_index)
     2736    0.023    0.000    0.341    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:6083(_should_compare)
    17014    0.098    0.000    0.338    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:2007(external_values)
      387    0.007    0.000    0.327    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:208(<listcomp>)
   193957    0.150    0.000    0.325    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1459(get_dtype)
      774    0.236    0.000    0.321    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:322(_get_mgr_concatenation_plan)
      249    0.013    0.000    0.319    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:892(format_col)
      403    0.015    0.000    0.310    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/concat.py:393(__init__)
      371    0.002    0.000    0.308    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:42(__call__)
     1713    0.028    0.000    0.308    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:306(apply)
      371    0.003    0.000    0.305    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1847(__call__)
    13671    0.083    0.000    0.305    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1656(pandas_dtype)
    42498    0.078    0.000    0.302    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:686(<genexpr>)
    23258    0.193    0.000    0.296    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:5931(__finalize__)
    45873    0.176    0.000    0.293    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:5991(__setattr__)
     1113    0.003    0.000    0.290    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1764(_get_sequential_output)
     5959    0.031    0.000    0.290    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/generic.py:453(_validate_dtype)
      756    0.006    0.000    0.282    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4174(reindex)
      583    0.010    0.000    0.282    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:6666(drop)
     1484    0.034    0.000    0.277    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/validation.py:92(_assert_all_finite)
    42303    0.061    0.000    0.276    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:653(is_integer_dtype)
     2704    0.011    0.000    0.273    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:3804(_get_indexer)
     7623    0.042    0.000    0.271    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1873(from_array)
      403    0.002    0.000    0.270    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/concat.py:631(_get_new_axes)
