         4572717 function calls (4555856 primitive calls) in 31.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1188    0.002    0.000    0.113    0.000 <__array_function__ internals>:177(unique)
       12    0.000    0.000    0.111    0.009 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/merge.py:805(get_result)
       11    0.000    0.000    0.110    0.010 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/preprocessing/_data.py:841(partial_fit)
      229    0.006    0.000    0.108    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:6666(drop)
     1030    0.107    0.000    0.107    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      501    0.003    0.000    0.106    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:572(_concatenate_join_units)
       11    0.000    0.000    0.105    0.010 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/metrics/_classification.py:2144(recall_score)
142364/141995    0.044    0.000    0.105    0.000 {built-in method numpy.asarray}
       55    0.001    0.000    0.103    0.002 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:680(score)
      620    0.003    0.000    0.102    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/accessor.py:220(__get__)
     1188    0.004    0.000    0.101    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/lib/arraysetops.py:138(unique)
       12    0.001    0.000    0.099    0.008 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/merge.py:749(_reindex_and_concat)
      616    0.001    0.000    0.099    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
      176    0.006    0.000    0.096    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/arrays/sparse/accessor.py:231(_validate)
      303    0.006    0.000    0.095    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexing.py:1089(__getitem__)
      271    0.001    0.000    0.091    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/indexes/base.py:5839(get_indexer_for)
     1188    0.045    0.000    0.090    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
     1870    0.005    0.000    0.086    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/_array_api.py:360(_asarray_with_order)
      686    0.003    0.000    0.086    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:914(format)
     5485    0.010    0.000    0.085    0.000 {built-in method builtins.any}
       22    0.010    0.000    0.084    0.004 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/metrics/_classification.py:1492(_check_set_wise_labels)
      686    0.040    0.000    0.083    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/logging/__init__.py:651(format)
    32002    0.080    0.000    0.080    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_linear_loss.py:99(weight_intercept)
       66    0.001    0.000    0.077    0.001 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/io/formats/format.py:1613(_format_strings)
       22    0.000    0.000    0.076    0.003 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/validation.py:1020(check_X_y)
