seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 90 3, 70 2, 40 4",71,80,61,38,0.6779661016949152,0.604,0.5673758865248227,0.6177606177606179
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 56 2, 28 4",60,82,58,50,0.6212121212121212,0.568,0.5857142857142857,0.6029411764705882
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 36 2, 17 4",57,89,45,59,0.6013513513513513,0.584,0.664179104477612,0.6312056737588652
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 17 2, 9 4",60,92,43,55,0.6258503401360545,0.608,0.6814814814814815,0.6524822695035462
N/A,Binary,'Rd_kostenB_1993',pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,66,74,64,46,0.6166666666666667,0.56,0.5362318840579711,0.5736434108527132
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",28,151,52,19,0.888235294117647,0.716,0.7438423645320197,0.8096514745308312
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 222 3, 133 2, 95 4",20,131,82,17,0.8851351351351351,0.604,0.6150234741784038,0.7257617728531855
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 199 3, 117 2, 84 4",21,141,64,24,0.8545454545454545,0.648,0.6878048780487804,0.762162162162162
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 102 2, 74 4",23,138,68,21,0.8679245283018868,0.644,0.6699029126213593,0.756164383561644
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 86 2, 66 4",27,127,80,16,0.8881118881118881,0.616,0.6135265700483091,0.7257142857142858
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 122 3, 72 2, 56 4",23,140,64,23,0.8588957055214724,0.652,0.6862745098039216,0.7629427792915532
N/A,Binary,'Rs_krupitsky_2004',pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 96 3, 59 2, 45 4",25,129,77,19,0.8716216216216216,0.616,0.6262135922330098,0.7288135593220338
